provincia|seccion|circuito|local|mesa|partido|porcentaje
Jujuy|San Antonio|Circuito San Antonio (Pueblo)|MSC.  NØ19 DELFIN PUCH|1000300839X|JUNTOS POR EL CAMBIO|90.0
Jujuy|San Antonio|Circuito San Antonio (Pueblo)|MSC.  NØ19 DELFIN PUCH|1000300839X|FRENTE DE TODOS|0.0
Jujuy|Yavi|Circuito Yavi (Pueblo)|ESC. NØ25 SGTO.JOSE M.GOMEZ|1001501800X|JUNTOS POR EL CAMBIO|17.44
Jujuy|Yavi|Circuito La Quiaca|ESC. DE EDUC.TECNICA N§1|1001501764X|JUNTOS POR EL CAMBIO|15.17
Jujuy|Yavi|Circuito La Quiaca|ESC. NORMAL GENDARMERIA NAC.|1001501783X|FRENTE DE TODOS|9.9
Jujuy|Yavi|Circuito La Quiaca|ESC. NORMAL GENDARMERIA NAC.|1001501777X|JUNTOS POR EL CAMBIO|19.35
Jujuy|Yavi|Circuito Pumahuasi|ESC. NØ61 STELLA MARIS ILMING|1001501801X|JUNTOS POR EL CAMBIO|19.81
Jujuy|El Carmen|Circuito Ciudad Perico|ESC. NØ236 PCIA.DE SANTA FE|1000400934X|INCIDENCIA|0.0
Jujuy|El Carmen|Circuito Ciudad Perico|ESC. NØ64 INDEPENDENCIA|1000400946X|INCIDENCIA|0.0
Jujuy|El Carmen|Circuito Monterrico|ESC. E.T. NØ 1 MONTERRICO|1000401047X|INCIDENCIA|0.0
Jujuy|El Carmen|Circuito Monterrico|ESC. NØ37 FELIPE A.IRIARTE|1000401052X|INCIDENCIA|0.0
Jujuy|El Carmen|Circuito Pampa Blanca|ESC. NØ55 PATRICIAS JUJE¥AS|1000401082X|FRENTE DE TODOS|11.0
Jujuy|Tilcara|Circuito Tilcara (Pueblo)|ESC. PRIMARIA DR. E CASANOVA|1001001597X|JUNTOS POR EL CAMBIO|11.49
Jujuy|Tilcara|Circuito Yala de Monte Carmelo|ESC. NØ89 SALVADOR BENEDETTI|1001001634X|INCIDENCIA|0.0
Jujuy|Tilcara|Circuito Molulo|ESC. NØ76 SOLDADO DE LA PATRIA|1001001613X|INCIDENCIA|0.0
Jujuy|Tilcara|Circuito Abra Mayo|ESC. NØ358 ROSARIO V.PE¥ALOZA|1001001615X|INCIDENCIA|0.0
Jujuy|Tilcara|Circuito El Durazno|ESC. NØ351 JOSE MARIA FASCIO|1001001614X|INCIDENCIA|0.0
Jujuy|Tumbaya|Circuito Colorados|ESC. NØ350 MALON DE LA PAZ|1000901593X|INCIDENCIA|0.0
Jujuy|Tumbaya|Circuito Purmamarca|ESC. NØ21 PEDRO GOYENA|1000901589X|INCIDENCIA|0.0
Jujuy|Santa Catalina|Circuito Paicones|ESC. NØ146 MAESTRO ARGENTINO|1001401748X|FRENTE DE TODOS|77.53
Jujuy|Santa Catalina|Circuito Paicones|ESC. NØ146 MAESTRO ARGENTINO|1001401748X|JUNTOS POR EL CAMBIO|13.76
Jujuy|Santa Catalina|Circuito Santa Catalina (Pueblo)|ESC. NØ18 GENERAL RONDEAU|1001401737X|JUNTOS POR EL CAMBIO|19.25
Jujuy|Santa Catalina|Circuito Casira|ESC.FRONTERA N§4 CAP.FEDERAL|1001401744X|FRENTE DE TODOS|75.64
Jujuy|Santa Catalina|Circuito Oratorio|ESC. N§3 DE FRONTERA|1001401745X|FRENTE DE TODOS|86.25
Jujuy|Santa Catalina|Circuito Oratorio|ESC. N§3 DE FRONTERA|1001401745X|JUNTOS POR EL CAMBIO|9.16
Jujuy|Santa Catalina|Circuito El Angosto|ESC. NØ369 LUCIA RUEDA|1001401740X|FRENTE DE TODOS|78.26
Jujuy|Santa Catalina|Circuito El Angosto|ESC. NØ369 LUCIA RUEDA|1001401740X|JUNTOS POR EL CAMBIO|15.94
Jujuy|Palpalá|Circuito Palpala-Ciudad|ESC. N§ 144 VICTOR MERCANTE|1000200790X|INCIDENCIA|0.0
Jujuy|Palpalá|Circuito Palpala-Ciudad|INSTITUTO SAGRADO CORAZON|1000200722X|INCIDENCIA|0.0
Jujuy|Palpalá|Circuito Palpala-Ciudad|INSTITUTO SAGRADO CORAZON|1000200724X|INCIDENCIA|0.0
Jujuy|Palpalá|Circuito Palpala-Ciudad|ESC PCIAL DE COMERCIO 2 M. BELGRANO|1000200699X|INCIDENCIA|0.0
Jujuy|Susques|Circuito El Huancar|ESC. NØ365 EDUARDO CALSINA|1001601812X|FRENTE DE TODOS|79.2
Jujuy|Susques|Circuito El Huancar|ESC. NØ365 EDUARDO CALSINA|1001601812X|JUNTOS POR EL CAMBIO|15.2
Jujuy|Susques|Circuito El Huancar|ESC. NØ365 EDUARDO CALSINA|1001601811X|FRENTE DE TODOS|78.99
Jujuy|Susques|Circuito El Huancar|ESC. NØ365 EDUARDO CALSINA|1001601811X|JUNTOS POR EL CAMBIO|17.64
Jujuy|Susques|Circuito Olaroz Chico|ESC. NØ211 GENDARM. NACIONAL|1001601813X|FRENTE DE TODOS|77.97
Jujuy|Susques|Circuito Olaroz Chico|ESC. NØ211 GENDARM. NACIONAL|1001601813X|JUNTOS POR EL CAMBIO|16.66
Jujuy|Susques|Circuito Susques (Pueblo)|ESC. NØ361 27 DE FEBRERO|1001601816X|FRENTE DE TODOS|6.27
Jujuy|Humahuaca|Circuito Coctaca|ESC. NØ41 SOLDADO ARGENTINO|1001101667X|JUNTOS POR EL CAMBIO|19.42
Jujuy|Humahuaca|Circuito Miyuyoc|ESC. NØ375 LAZARO CRUZ|1001101679X|JUNTOS POR EL CAMBIO|14.81
Jujuy|Humahuaca|Circuito Palca de Aparzo|ESC. NØ254 EXODO JUJE¥O|1001101687X|JUNTOS POR EL CAMBIO|7.38
